-'s	của
disinfection	tẩy uế
disk	đĩa
dislike	không ưa
dislike	không thích
dislike	ghét
dislodge	đánh bật
dismiss	bỏ
dismiss	bác bỏ
dismiss	bác
dismiss	gạt bỏ
dismiss	xua đuổi
dismiss	đuổi
dismiss	giải tán
dismiss	thải hồi
dismiss	sa thải
dismiss	đánh
dismissal	sự giải tán
dismissal	giải tán
Disney	Đi-xnây
dispensation	phép chuẩn
disperse	rải rác
displacement	li độ
display	biểu hiện
display	trưng bày
disport	tiêu dao
disrespect	sự thiếu tôn trọng
disrespect	sự vô lễ
disrespectful	thất lễ
disrespectful	vô lễ
disrupt	làm phiền
disrupt	ngán đường
dissertation	luận văn
dissociative identity disorder	rối loạn đa nhân cách
dissociative identity disorder	rối loạn nhân dạng phân ly
dissolve	hòa tan
distance	khoảng cách
distant	xa xôi
distil	chưng cất
distilled water	nước cất
distinguish	phân biệt
distributor	bộ phân phối
District of Columbia	Đặc khu Columbia
District of Columbia	Quận Columbia
district	quận
ditch	hào
ditch	rãnh
ditch	mương
ditto	như trên
ditto	nt
divan	đi văng
dive bomber	máy bay ném bom bổ nhào
dive	lặn
diverse	đa dạng
diverse	khác nhau
diversity	đa dạng
divide	chia
dividend	cổ tức
division of labour	phân công lao động
division	phép chia
division	sư đoàn
division	sư
divorce	ly hôn
divorce	ly dị
divorcee	người ly dị vợ
divorcee	người ly dị chồng
dizziness	chóng mặt
Djibouti	Gi-bu-ti
Djibouti	Di-bu-ti
DNA	DNA
do the laundry	giặt gỵa
do the laundry	giặt gịa
do the laundry	giặt quần áo
do the laundry	giặt giũ
do time	bóc lịch
do you accept credit cards	có nhận thẻ tín dụng không?
do you have children	bạn có con không?
do you speak English	bạn có nói tiếng Việt
do you speak English	bạn có nói được tiếng Anh không?
do you speak English	bạn
do	được
do	subject + có + predicate + không
do	có phải (là) ... không
do	làm
dock	chút chít
dockworker	khuân vác
doctor	tiến sĩ
Doctor	tiến sĩ
doctorate	tiến sĩ
doctrine	giáo lý
doctrine	chủ nghĩa
doctrine	giáo điều
doctrine	học thuyết
document	tài liệu
document	văn kiện
documentary	phim tài liệu
dodecahedron	khối mười hai mặt
dodge	tránh
dodge	né
does anyone here speak English	có ai biết nói tiếng Anh không?
doff	cởi
doff	bỏ
dog meat	thịt chó
dog rose	tầm xuân
dog	chó
dogma	giáo điều
dogmatic	giáo điều
Doha	Đô-ha
dojo	võ đường
dojo	đạo trường
doll	búp bê
dollar	đồng
dollar	đô la
dollar	đô-la
dollar	đồng Mỹ
dollarization	đô la hoá
dolphin	cá heo
domain name	tên miền
domain	tập xác định
domain	miền xác định
domain	lãnh giới
domain	vực
domain	tên miền
domain	không gian tên
domain	đất đai
domain	tài sản
domain	dinh cơ
domain	lãnh địa
domain	lãnh thổ
dome	mái vòm
domestic violence	bạo hành gia đình
domestic violence	bạo lực gia đình
domestic	nuôi trong nhà
domestic	nội địa
domesticate	thuần hoá
dominance	chiếm ưu thế
Dominic	Đa Minh
Dominic	Đaminh
Dominica	Đô-mi-ni-ca
Dominican Republic	Cộng hoà Đô-mi-ni-ca-na
Dominican Republic	Đô-mi-ni-ca-na
Dominican Republic	Cộng hòa Dominica
domino effect	hiệu ứng domino
Don Quixote	Đôn Ki-hô-tê
Don Quixote	Đông Ki-sốt
don	mặc
don't mention it	không có chi
don't	đừng
Donald Duck	Vịt Donald
Donald	Đô-nan
donate	quyên góp
donation	tặng
done	chín
done	hết
done	xong
done	thất bại
done	xong rồi
Donetsk People's Republic	Cộng hòa Nhân dân Donetsk
dong	đồng
Dongguan	Đông Hoản
donkey	lừa
doomsday	ngày tận thế
door god	Môn Thần
door	cửa
doorbell	chuông cửa
doorknob	tay nắm cửa
doorknob	nắm đấm cửa
doping	dùng thuốc kích thích
Doppler effect	hiệu ứng Doppler
dorayaki	bánh rán
dormitory	kí túc xá
dormitory	phòng ngủ
dormouse	chuột sóc
dorsal fin	vây lưng
Dortmund	Đoóc-mun
dot	chấm
dot	dấu chấm
dot	dấu nặng
double agent	gián điệp hai mang
double agent	điệp viên hai mang
double eyelid	mắt hai mí
double standard	tiêu chuẩn kép
double whole note	nốt tròn đôi
double	kép
double	đôi
double	nhân đôi
double	gấp đôi
doubloon	đublum
doubloon	đồng đublum
doubt	nghi ngờ
doubting Thomas	Tôma đa nghi
douchi	đậu xị
dough	bột
dough	bột nhồ
dough	bột nhào
dough	bột nhão
doughnut	bánh rán
dougong	đấu củng
douhua	tào phớ
douhua	phớ
douhua	tào phở
douhua	đậu hủ nước đường
douhua	tàu hủ nước đường
dove	bồ câu
down quark	quắc xuống
Down syndrome	hội chứng Down
down with	đả đảo
down	xuống
down	vào
down	cạn
download	tải xuống
download	truyền xuống
download	nạp xuống
download	viễn nạp
download	tải
download	tải về
downtown	dưới phố
downtown	khu trung tâm thành phố
downtown	khu vực trung tâm thành phố
downtown	nội thành
dowry	của hồi môn
doze	ngủ gật
dozen	tá
Draco	Thiên Long
draft	nháp
drag	kéo
dragon fruit	thanh long
dragon	rồng
dragonfly	chuồn chuồn
dragoon	long kỵ binh
drain	cống
drainage basin	lưu vực
drainpipe	ống thoát nước
drama	phim truyền hình
drama	phim bộ
drama	kịch
drama	tuồng
draughts	cờ đam
draw	vẽ
draw	vạch
draw	dựng lên
drawbridge	cầu sắt
drawer	ngăn kéo
drawer	hộc
drawing	hình vẽ
drawing	hình họa
dream	giấc mơ
dream	mơ
dreamcatcher	lưới bắt giữ giấc mơ
dreamcatcher	lưới giấc mơ
dredge	nạo vét
dregs	cặn
dregs	cặn bã
Dresden	Đrét-xđen
dress shirt	sơ mi
dress	quần áo
dress	áo dài (phụ nữ)
dress	áo đầm
dress	mặc
dress	sửa soạn
dress	nêm
drill	thực hành
drink	uống
drink	rượu
drink	ly
drink	cốc
drink	chai
drink	đồ uống
drink	thức uống
drink	uống rượu
drink	uống say
drink	nhậu
drinking straw	ống hút
drinking water	nước uống
drip	nhỏ
drip	rỉ
dripping	ròng ròng
drive	lái
drive	lái xe
driver	người lái
driver	tài xế
driver's license	giấy phép lái xe
driver's license	bằng lái xe
driving school	trường dạy lái xe
drizzle	phùn
drizzly	phùn
dromedary	lạc đà một bướu
dromedary	lạc đà Ả Rập
drone	máy bay không người lái
drop	giọt
drop	buông rơi
droplet	giọt nhỏ
drought	hạn hán
drown	dìm
drown	chết đuối
drown	nhấn chìm
drown	đuối nước
drug	ma túy
drum	trống
drumstick tree	chùm ngây
drumstick	đùi gà
drumstick	dùi trống
drumstick	dùi
drunk	say
drunk	xỉn
drunk	ma men
Drunken Fist	túy quyền
drupe	quả hạch
dry ice	đá khô
dry season	mùa khô
dry	khô
dry	sấy
dry	hong
dual carriageway	đường lộ đôi
dub	lồng tiếng
Dubai	Dubai
dubbing	lồng tiếng
Dublin	Đạp Lân
Dublin	Đu-blin
dubnium	dubni
duchy	công quốc
duck	ván trắng
duck	vịt
duck	con vịt
duck	vịt cái
duck	thịt vịt
duck	dìm (xuống nước)
duck	ngụp
duck	cúi
duck	cúi (đầu)
duck	trốn
duckling	vịt con
duckweed	bèo
dudou	yếm
due to	do
due to	vì
due to	nhờ
due to	tại
duel	quyết đấu
duel	đấu tay đôi
dugout	thuyền độc mộc
duiker	linh dương hoẵng
duiker	kỉ linh
duke	công tước
duke	公爵
dukkha	khổ
dulcimer	xim-ba-lum
dull	cùn
dull	cùi
duma	Viện Đu-ma
duma	Đu-ma
dumbbell	quả tạ
dump truck	xe ben
dumpling	mằn thắn
dumpling	vằn thắn
dumpling	hoành thánh
dune	đụn cát
dune	cồn cát
dung beetle	bọ hung
dung	phân
dung	phân chuồng
dungeon	tầng hâm
Dunhuang	Đôn Hoàng
duodenum	tá tràng
dupe	lừa gạt
duplicate	bản sao
duplicate	lặp lại
duplicate	nhân bản
duplicate	sao chép
duplicate	sao lục
duplicate	bắt chước
duplicate	làm theo
dura mater	màng cứng
durian	sầu riêng
during	trong
during	trong lúc
during	trong khi
during	trong khoảng
Dushanbe	Đu-san-be
dusk	chạng vạng
dust mask	mặt nạ chống bụi
dust	bụi
dust	phủi
dustpan	ki
dustpan	ki hốt rác
dustpan	đồ hốt rác
dusty	bụi bặm
Dutch wife	trúc phu nhân
Dutch	Hà Lan
Dutch	người Hà Lan
Dutch	tiếng Hà Lan
duty	thuế quan
duty	hải quan
duty	nhiệm vụ
duty	trách nhiệm
duty	chức trách
duty	nghĩa vụ
duty	chức vụ
dwarf cassowary	đà điểu đầu mào lùn
dwarf planet	hành tinh lùn
dwarf star	sao lùn
dwarf	chú lùn
dwarf	người lùn
dwell	ở
dwelling	chổ ở
dye	thuốc nhuộm
dye	nhuộm
dyed	nhuộm
dyke	đê
dynamite	mìn
dynamite	đinamit
dynamo	máy phát điện
dynasty	triều đại
dynasty	vương triều
dyscalculia	chứng khó học toán
dysentery	kiết lị
dysentery	lị
dysentery	kiết
dyslexia	chứng khó đọc
dysmenorrhea	đau bụng kinh
dysprosium	đysprosi
dysprosium	đisprozi
dystrophy	sự loạn đường
Düsseldorf	Đuy-xen-đóp
Dīpaṃkara	Nhiên Đăng Phật
Dīpaṃkara	Nhiên Đăng Cổ Phật
Dīpaṃkara	Đính Quang Phật
Dương Kinh	Dương Kinh
E	ngạc
e-book	sách điện tử
e-commerce	thương mại điện tử
e-mail address	địa chỉ thư điện tử
e-sports	thể thao điện tử
e.g.	vd.
each other	nhau
each	hàng
each	từng
eagle owl	cú đại bàng
eagle	chim đại bàng
eagle	đại bàng
ear lobe	dái tai
ear	bông
ear	tai
eardrum	màng nhĩ
earl	bá tước
early	sớm
early	ban đầu
early	đầu mùa
earn	kiếm
earphone	ống nghe
earphone	tai nghe
earphones	tai nghe
earphones	ê-cút-tơ
earring	khuyên tai
earring	khuyên
earring	hoa tai
earring	bông tai
earsore	ngứa tai
earsore	chướng tai
earth	thổ
earth	đất
earth	mặt đất
earth	đất liền
Earth	Trái Đất
Earth	Địa Cầu
earthbound	nằm trên mặt đất
earthbound	nằm trên bề mặt trái đất
earthbound	bị giới hạn trên trái đất hoặc bề mặt trái đất
earthbound	thiếu tưởng tượng
earthbound	thiếu tinh tế
earthbound	bị ràng buộc bởi lợi ích trần thế
Earthling	người Trái đất
earthly branch	địa chi
earthquake	động đất
earthworm	giun đất
earthworm	trùn
earwax	ráy
earwax	ráy tai
earwax	cứt ráy
earwig	sâu tai
earworm	sâu tai
easel	giá vẽ
East Africa	Đông Phi
East Asia	Đông Á
East Asia	Á Đông
East China Sea	Biển Hoa Đông
East China Sea	Đông Hải
East Coast	Bờ Đông
East Germany	Đông Đức
East Pakistan	Đông Hồi
East Siberian Sea	biển Đông Siberia
East Timor	Đông Ti-mo
East Timor	Ti-mo Lex-te
east	đông
east	phía đông
east	hướng đông
east	phương đông
East	phương đông
East	Phương Đông
Easter egg	trứng Phục Sinh
Easter Island	đảo Phục Sinh
Easter	Phục sinh
Easter	lễ Phục sinh
Easter	Phục Sinh
Easter	lễ Phục Sinh
Eastern Bloc	Khối phía Đông
Eastern Europe	Đông Âu
Eastern Hemisphere	Đông Bán cầu
Eastern Orthodox Church	Chính thống giáo Đông phương
eastern	đông
easy	dễ dàng
easy	dễ
eat one's fill	ăn no
eat	ăn cơm
eatery	hàng ăn
eatery	quán ăn
eavesdrop	nghe lén
eavesdrop	nghe trộm
eavesdropper	người nghe lén
eavesdropper	người nghe trộm
Ecclesiastes	Giảng Sư
echidna	thú lông nhím
echo	tiếng dội
echo	tiếng vang
eclipse	thiên thực
ecliptic	hoàng đạo
eco-	sinh
ecology	sinh thái học
econometrics	kinh tế lượng
economic	kinh tế
economics	kinh tế học
economist	nhà kinh tế học
economy	tiết kiệm
economy	kinh tế
ecosystem	hệ sinh thái
ecotourism	du lịch sinh thái
Ecuador	Ê-cu-a-đo
ecumenism	phong trào Đại kết
Eden	Ê-đen
edge	rìa
edge	cạnh
edge	mép
edge	lưỡi dao
edible	ăn được
Edinburgh	Ê-đin-brơ
edit	biên tập
edition	xuất bản
editorial	bài xã luận
Edmonton	Edmonton
education	giáo dục
education	dạy dỗ
education	giáo dưỡng
education	教
education	養
eel	cá chình
effect	hiệu ứng
effect	dẫn đến
effort	nỗ lực
egg roll	nem rán
egg roll	nem
egg roll	chả giò
egg tooth	răng trứng
egg	trứng
eggplant	cà tím
eggplant	cà
eggshell	vỏ trứng
ego	cái tôi
egret	cò
Egypt	Ai Cập
Egyptian	Ai Cập
Egyptian	người Ai Cập
Egyptian	tiếng Ai Cập
Egyptology	Ai Cập học
eh	nhỉ
eh	nhé
eh	hả
Ehlers-Danlos syndrome	hội chứng Ehlers-Danlos
Eiffel Tower	tháp Eiffel
eight o'clock	tám giờ
eight	tám
eighteen	mười tám
eighth	thứ tám
eightieth	thứ tám mươi
eighty	tám mươi
eighty-eight	tám mươi tám
eighty-nine	tám mươi chín
einsteinium	ensteni
either	hoặc … hoặc
ejaculate	xuất tinh
ejaculate	phóng tinh
ejaculation	xuất tinh
ejaculation	phóng tinh
El Salvador	En Xan-va-đo
el	e-lờ
el	lờ
elapse	trôi qua
elastic band	dây thun
elastic band	dây chun
elastic band	dây cao su
elbow	khuỷu tay
elder	cả
elect	tân cử
elect	bầu
elect	tuyển cử
elect	bầu cử
election	bầu cử
election	tuyển cử
elector	cử tri
electoral college	đại cử tri đoàn
electric car	xe điện
electric car	ô tô điện
electric charge	điện tích
electric current	dòng điện
electric field	điện trường
electric multiple unit	tàu điện động lực phân tán
electric shock	va chạm điện
electric shock	điện giật
electric vehicle	xe điện
electric vehicle	xe chạy điện
electric	điện
electric	điện khí
electrical engineering	kĩ thuật điện
electrician	thợ điện
electrician	thợ sửa điện
electricity	điện lực
electricity	điện
electricity	điện năng
electricity	điện khí
electrification	điện khí hóa
electrocardiogram	điện tâm đồ
electrode	điện cực
electrolyte	chất điện li
electrolyte	chất điện giải
electrolyte	chất điện phân
electromagnetic radiation	bức xạ điện từ
electromagnetic radiation	sóng điện từ
electromagnetic spectrum	phổ điện từ
electromagnetic wave	sóng điện từ
electromagnetic	điện từ
electromagnetism	điện từ học
electron	electron
electron	điện tử
electronic cigarette	thuốc lá điện tử
electronic game	trò chơi điện tử
electronics	điện tử học
electrophoresis	điện di
electroscope	cái nghiệm tĩnh điện
electrum	electrum
elegant	thanh lịch
elegant	tao nhã
element	nguyên tố
element	yếu tố
elephant foot yam	nưa chuông
elephant shrew	chuột chù voi
elephant trap	bẫy elephant
elephant	voi
eleven o'clock	mười một giờ
eleven	mười một
ellipse	elíp
ellipsis	dấu ba chấm
elope	trốn nhà theo trai
elope	trốn nhà theo gái
elude	trốn chạy khỏi
elude	né tránh
em	em-mờ
em	em
em	mờ
email	địa chỉ thư điện tử
email	địa chỉ thơ điện tử
email	địa chỉ điện thư
email	thư điện tử
email	email
email	thơ điện tử
email	điện thư
email	gửi điện thư
email	gửi thư điện tử
emancipate	giải phóng
embalming	ướp xác
embargo	cấm vận
embark	lên tàu
embarrass	làm xấu hổ
embarrassed	xấu hổ
embarrassed	bối rối
embassy	tòa đại sứ
embassy	đại sứ quán
embed	ấn
embed	đóng
embed	gắn
embed	nhúng
Ember day	Chay mùa
emblem	biểu tượng
embodiment	hiện thân
embrace	ôm
embroider	thêm mắm thêm muối
embroidery	đồ thêu
embryo	phôi
embryo	phôi thai
emery	đá nhám
emigrant	di cư
emigration	di dân
emirate	tiểu vương quốc
emit	phát ra
emotion	cảm xúc
emotional intelligence	trí tuệ xúc cảm
empathize	đồng cảm
empathize	thấu cảm
empathy	cộng cảm
empathy	thấu cảm
emperor	hoàng đế
emperor	thiên hoàng
emperor's new clothes	bộ quần áo mới của hoàng đế
emphasize	nhấn mạnh
Empire of Japan	Đế quốc Nhật Bản
empire	đế quốc
empirical	kinh nghiệm
empirical	thực chứng
empiricism	chủ nghĩa kinh nghiệm
employ	dùng
employ	mướn
employee	nhân viên
employer	chủ
employer	cai thầu
employer	chủ lao động
employment agency	cơ quan việc làm
employment contract	hợp đồng lao động
employment	việc làm
empress dowager	hoàng thái hậu
empress dowager	thái hậu
empress	hoàng hậu
empress	nữ hoàng
empty set	tập hợp rỗng
empty set	tập rỗng
empty vessels make the most sound	thùng rỗng kêu to
empty	trống
empty	rỗng
empty	tẩy trống
empty	tẩy sạch
en masse	rộ
en masse	hàng loạt
en masse	cả đám
en passant	Bắt Tốt qua đường
en	en-nờ
en	en
en	nờ
enclose	bao vây
encode	mã hóa
encode	chuyển mã
encoding	biên mã
encore	nữa!
encore	hát lại!
encore	múa lại!
encore	bài hát lại
encore	điệu múa lại
encounter	bắt gặp
encourage	cổ vũ
encyclopedia	bách khoa toàn thư
encyclopedic dictionary	từ điển bách khoa
end of the world	tận thế
end	chóp
end	mút
end	kết thúc
end	hết
end	làm xong
end	hoàn thành
end	kết liễu
endeavor	cố gắng
endgame	cuối ván
endocrine	nội tiết
endoplasmic reticulum	mạng lưới nội chất
endorphin	endorphin
endosymbiotic theory	thuyết nội cộng sinh
endure	chịu đựng
enemy	kẻ thù
enemy	kẻ địch
enemy	địch
energy	năng lượng
engagement ring	nhẫn đính hôn
engagement	đính hôn
engagement	訂婚
engagement	hôn ước
engine displacement	phân khối
engine	động cơ
engineer	kĩ sư
engineer	kỹ sư
England	Anh
England	nước Anh
England	Anh Cát Lợi
England	Anh Quốc
English Channel	eo biển Măng-sơ
English	Anh
English	tiếng Anh
English	người Anh
Englishman	người Anh
enigma	điều bí ẩn
enjoy	hưởng thụ
enjoy	thưởng thức
enlighten	làm sáng tỏ
enlist	đăng lính
enlist	đăng
enlist	tòng quân
enlist	đăng ký
enlist	tuyển quân
enlist	tuyển
enlist	tranh thủ
Enoch	Hê-nốc
Enoch	Ế-nóc
enoki mushroom	nấm kim châm
enormous	khổng lồ
Enos	Ê-nót
Enos	Ê-nóc
enough	đủ
enough	đủ rồi
enrich	làm giàu
enter	đi vào
enter	vô
enter	vào
enteritis	bịnh sưng ruột
enterprise	xí nghiệp
entertainment	giải trí
enthalpy	entanpi
enthusiasm	hăng hái
enthusiasm	nhiệt tình
enthusiastic	hăng hái
enthusiastic	nhiệt tình
entire	toàn bộ
entire	toàn thể
entire	hoàn toàn
entomologist	nhà côn trùng học
entomology	côn trùng học
entourage	tùy tùng
entrance	lối vào
entrepreneur	chủ doanh nghiệp
entresol	tầng xép
entry	mục từ
envelope	phong bì
envelope	bao thư
environment	môi trường
environment	môi sinh
environment	môi trường sống
environmentally friendly	thân thiện với môi trường
envoy	phái viên
enzyme	enzym
enzyme	men tiêu hoá
epic	sử thi
epicanthus	nếp#Etymology_2
epicentre	chấn tâm
epidemic	dịch
epidemic	bệnh dịch
epidemiology	dịch tễ học
epidermis	ngoại bì
epigraphy	kim thạch học
epigraphy	minh văn học
epilepsy	động kinh
epilogue	phần kết
epilogue	lời bạt
Epiphany	Lễ Hiển Linh
episode	phần
epistaxis	chảy máu cam
epistemology	nhận thức luận
epitaph	văn bia
epithelium	biểu mô
epitrochoid	êpitrocoit
epizeuxis	điệp từ
epoch	thời đại
equal sign	dấu bằng
equality	bình đẳng
equation	phương trình
equator	xích đạo
Equatorial Guinea	Ghi-nê Xích Đạo
equilibrium	cân bằng
equinox	điểm phân
equipment	thiết bị
equipment	trang bị
equity	sự bình đẳng
era name	niên hiệu
era	thời đại
era	kỉ nguyên
eradicate	triệt hạ
eradicate	xóa sạch
eradicate	trừ tiệt
eradicate	nhổ
erase	xóa
eraser	cái tẩy
eraser	cục gôm
eraser	tẩy chì
erbium	eribi
erectile dysfunction	liệt dương
erection	cương cứng
erhu	nhị hồ (二胡)
erhua	nhi hóa
erhua	ér hoá
erhua	r hoá
Eris	Eris
Eritrea	Ê-ri-tơ-rê-a
erosion	xói mòn
erotic	tình ái
erotic	tình dục
error message	thông báo lỗi
error message	thông báo về sai lầm
error	lỗi
error	sai số
erudite	có học thức
erudite	bác học
escalator	thang cuốn
escape key	phím thoát
escape	tránh
escape	thoát
escape	trốn thoát
escape	trốn khỏi
eschatology	thuyết mạt thế
eschatology	thế mạt luận
eschatology	chung thời học
escort	hộ tống
especially	nhất là
especially	đặc biệt là
Esperanto	quốc tế ngữ
Esperanto	tiếng quốc tế ngữ
Esperanto	thế giới ngữ
espionage	hoạt động tình báo
espresso	espresso
ess	ét
ess	sờ
ess	xờ mạnh
ess	xờ nặng
essay	tiểu luận
Essen	Ét-xen
essence	bản chất
essential oil	tinh dầu
establishment	tổ chức
establishment	sự thành lập
estate agent	đại lý bất động sản
estate agent	bất động sản viên
estimate	ước lượng
Estonia	E-xtô-ni-a
Estonian	E-xtô-ni-a
estuary	cửa sông
Eswatini	E-soa-ti-ni
ETA	giờ đến dự kiến
ETA	giờ đến nơi dự kiến
etc.	v.v.
etc.	vân vân
ethanol	cồn
ether	ê-te
ethics	luân lý
ethics	luân lý học
ethics	đạo đức học
Ethiopia	Ê-ti-ô-pi-a
ethnic cleansing	thanh lọc sắc tộc
ethnic group	dân tộc
ethnic	dân tộc
ethnicity	dân tộc
ethnography	dân tộc ký
ethnology	dân tộc học
ethology	phong tục học
ethology	tập tính học
etiquette	lễ nghi
etiquette	nghi lễ
etymology	từ nguyên
etymology	từ nguyên học
eucalyptus	bạch đàn
Eucharist	lễ
Eucharist	Tiệc Thánh
Eucharist	Thánh Thể
Eucharist	Cực Thánh
Eucharist	Mình Thánh Chúa
Eugene	Êugêniô
eugenics	thuyết ưu sinh
eukaryote	sinh vật nhân chuẩn
eukaryote	sinh vật nhân thực
eukaryote	sinh vật nhân điển hình
eukaryote	sinh vật có nhân chính thức
euphemism	uyển ngữ
euphonious	dễ nghe
euphonious	êm tai
Eurasia	lục địa Á-Âu
Eurasia	lục địa Âu-Á
Eurasia	đại lục Á Âu
Eurasia	đại lục Âu Á
Eurasian blackcap	lâm oanh mũ đen Á Âu
Eurasian sparrowhawk	bồ cắt
Eurasian sparrowhawk	cắt hỏa mai
Eurasian teal	mòng két
Eurasian wigeon	vịt đầu vàng
Eurasian	Á-Âu
Eurasian	người Á-Âu
eureka	ơ-rê-ca
euro	euro
euro	Âu kim
Europe	Châu Âu
Europe	Âu
European bison	bò bison châu Âu
European bison	bò bizon châu Âu
European Central Bank	Ngân hàng Trung ương Châu Âu
European hedgehog	nhím gai châu Âu
European polecat	triết
European Union	Liên minh châu Âu
European	châu Âu
European	Âu châu
European	người châu Âu
European	người Âu châu
Europeanisation	Âu hóa
Europeanize	Âu hóa
Europeanize	châu Âu hóa
Europeanize	Âu châu hóa
europium	europi
Euroscepticism	chủ nghĩa hoài nghi châu Âu
Eusebius	Êusêbiô
euthanasia	an tử
evacuate	di tản
evacuation	sơ tán
evacuation	tản cư
evaporate	bốc hơi
evaporate	bay hơi
Eve	Ê-va
even if	cho dù
even number	số chẵn
even though	dù
even though	mặc dù
even though	dẫu
even	chẵn
even	bằng nhau
even	bằng phẳng
even	bằng
even	đều đặn
even	đều đều
even	lại còn
even	lại
even	còn
even	ngay cả
even	thậm chí
even	chiều
even	san bằng
even	làm bằng
even	làm phẳng
evening star	sao Hôm
evening	chiều tối
event horizon	chân trời sự kiện
event	sự kiện
event	sự việc
eventually	cuối cùng
ever	bao giờ
evergreen	thường xanh
everlasting	vĩnh viễn
every cloud has a silver lining	trong cái rủi có cái may
every	mỗi
every	các
every	từng
everybody	mọi người
everyday	hằng ngày
everyday	thường ngày
everyday	tầm thường
everyone	mọi người
everything	mọi vật
everything	mọi thứ nào
everything	tất cả
evidence	chứng nhận
evidence	bằng chứng
evil	ác
evolution	tiến hóa
evolutionary biology	sinh học tiến hoá
evolutionary	tiến hóa
ew	êu
ewe	cừu cái
ex	ích
ex	xờ
ex	xờ nhẹ
ex-president	cựu tổng thống
ex-president	cựu chủ tịch
ex-service	giải ngũ
ex-service	phục viên
exactly	đúng rồi
exactly	đúng vậy
exactly	đó
examination	kiểm tra
examination	thi
examination	khảo thí
example	ví dụ
excavate	khai quật
excavator	người xới đất
excavator	máy đào
excavator	máy xúc
excellent	xuất sắc
excellent	tuyệt vời
excellent	ưu
except	trừ
except	ngoại trừ
except	trừ ra
except	không kể
except	phản đối
except	chống
exception	lệ ngoại
exception	ngoại lệ
exceptionalism	chủ nghĩa ngoại lệ
exchange rate	tỷ giá hối đoái
exchange value	giá trị trao đổi
exchange	đổi
exchange	quy đổi
exchange	sở giao dịch
exchange	trao đổi
excircle	đường tròn bàng tiếp
excited	kích thích
exciting	gây hứng thú
exciting	lý thú
exclaim	kêu lên
exclaim	la lên
exclaim	thốt lên
exclamation mark	dấu chấm than
exclusively	duy nhất
excrement	phân
excrement	cứt
excretion	bài tiết
excuse me	xin lỗi
excuse me	xin lỗi cho hỏi
excuse	cớ
excuse	cho nghỉ
execution	tử hình
executioner	người hành hình
executioner	đao phủ
exemption	sự miễn trừ
exercise book	vở
exercise	luyện tập
exercise	vận động
exercise	thể dục
exercise	tập
exercise	習
exhaust pipe	ống pô
exhibit	tang vật
exhibit	triển lãm
exhibit	trưng bày
exhibit	phô bày
exhibit	bày tỏ
exhibit	tỏ ra
exhibit	biểu lộ
exhibit	đệ trình
exhibit	đưa ra
exhibition	triển lãm
exist	tồn tại
existence	tồn tại
existentialism	chủ nghĩa hiện sinh
existentialism	thuyết hiện sinh
exit	lối ra
Exodus	Sách Xuất Hành
exoplanet	hành tinh ngoài hệ Mặt Trời
exoplanet	ngoại hành tinh
exoskeleton	bộ xương ngoài
exosphere	tầng ngoài
expand	khai triển
expect	mong đợi
expectorate	khạc đờm
expectorate	khạc
expectorate	nhổ
expensive	đắt
expensive	đắt tiền
expensive	mắc
experience	kinh nghiệm
experience	trải qua
experience	trải nghiệm
experience	kinh qua
experience	nếm trải
experience	nếm mùi
experiment	thí nghiệm
expert	chuyên gia
explain	giải thích
explode	nổ
explore	thám hiểm
explosion	nổ
explosive	chất nổ
explosive	thuốc nổ
exponential function	hàm mũ
exponential growth	tăng trưởng theo cấp số nhân
export	xuất khẩu
exporter	người xuất khẩu
exporter	cơ quan xuất khẩu
exporter	nước xuất khẩu
exposition	sự phơi
exposition	sự phơi bày
express	biểu hiện
expression	biểu thức
expression	thành ngữ
expression	từ ngữ
expression	vẻ
extend	kế thừa
extend	kéo dài
extend	nối dài
extension	mở rộng
extension	đuôi
extension	phần mở rộng
extirpate	bứng
extirpate	nhổ rễ
extracellular	ngoại bào
extractor hood	máy hút mùi
extradition	dẫn độ
extramarital	ngoại hôn
extranet	mạng ngoại bộ
extraordinary	phi thường
extrasensory perception	nhận thức ngoại cảm
extrasensory perception	ngoại cảm
extraterrestrial	ngoài trái đất
extraterrestrial	ngoài Trái Đất
extraterrestrial	ngoài hành tinh
extreme ultraviolet	siêu cực tím
extreme	cực đoan
extreme	cực đại
extreme	cực độ
extreme	điểm cực
extremely	vô cùng
extremely	tột bậc
extremely	tột bực
extremely	tột cùng
extremely	hết sức
extremely	cực độ
extremism	chủ nghĩa cực đoan
eye contact	giao tiếp bằng mắt
eye for an eye	mắt đền mắt
eye for an eye	răng đền răng
eye patch	vá mắt
eye patch	băng mắt
eye patch	miếng che mắt
eye socket	ổ mắt
eye	mắt
eyeball	cầu mắt
eyeball	nhãn cầu
eyebrow	lông mày
eyelash	lông mi
eyelash	mi
eyelid	mí mắt
eyelid	mí
eyeliner	bút kẻ mắt
eyesight	thị lực
eyesight	sức nhìn
eyesight	tầm nhìn
eyesore	điều ngứa mắt
eyesore	điều chướng mắt
Ezekiel	Ê-dê-ki-en
Ezekiel	Ê-xê-chi-ên
fable	ngụ ngôn
fabric softener	làm mềm
fabric	vải
face to face	trực diện
face to face	trực tiếp
face without makeup	mặt mộc
face	mặt
face	thể diện
face	đối mặt
face	đối diện
face	hướng (về)
Facebook	Phây-búc
Facebook	Phây
facemask	khẩu trang
facemask	mặt nạ
facial hair	lông mặt
facial mask	mặt nạ
fact	sự thật
